"","X","median_income","GEO_ID","index","percent_white","percent_in_labor_force","percent_no_available_car","percent_public_trans_commute","life_expectancy","se.e.0..","tree_density","percent_not_alive","avg_tree_diam"
"1016",1015,83922,36061007900,"Census Tract 79, New York County, New York: Summary level: 140, state:36> county:061> tract:007900",94.1477688368691,63.8380882711534,36.356986100951,29.9195318215069,88.2,3.0584,"High","Low","Low"
"1017",1016,110242,36061008000,"Census Tract 80, New York County, New York: Summary level: 140, state:36> county:061> tract:008000",85.3121902874133,68.8999008919723,51.4370664023786,20.9316154608523,88,2.5282,"High","Low","Low"
"1018",1017,111476,36061008100,"Census Tract 81, New York County, New York: Summary level: 140, state:36> county:061> tract:008100",85.5308697108407,71.0505749692978,49.3357150831752,37.3227643184102,81.8,1.3182,"Medium","Low","Low"
"1019",1018,107925,36061008200,"Census Tract 82, New York County, New York: Summary level: 140, state:36> county:061> tract:008200",76.078431372549,65.3921568627451,47.1895424836601,18.1699346405229,81.8,1.2556,"Medium","Medium","Low"
"1020",1019,69303,36061008300,"Census Tract 83, New York County, New York: Summary level: 140, state:36> county:061> tract:008300",58.1063883939934,62.2804784932553,48.0274879104098,37.2359378976839,81.2,1.6842,"Low","Medium","Low"
"1021",1020,142299,36061008601,"Census Tract 86.01, New York County, New York: Summary level: 140, state:36> county:061> tract:008601",74.8842180263627,74.6348414677592,42.8571428571429,24.5101531884574,81.5,2.7557,"Low","High","Medium"
"1022",1021,142304,36061008603,"Census Tract 86.03, New York County, New York: Summary level: 140, state:36> county:061> tract:008603",89.7705992509363,58.309925093633,30.7584269662921,13.6704119850187,85.8,1.9351,"High","Low","Medium"
"1023",1022,122569,36061008700,"Census Tract 87, New York County, New York: Summary level: 140, state:36> county:061> tract:008700",83.6988406201983,77.0498672999022,55.4127671462495,37.4214275736835,81.5,2.1255,"Medium","High","Low"
"1024",1023,100179,36061008800,"Census Tract 88, New York County, New York: Summary level: 140, state:36> county:061> tract:008800",71.8920513198643,75.2543872585165,52.2341837487096,21.7077127267365,88.7,3.7127,"High","Medium","Low"
"1025",1024,89315,36061008900,"Census Tract 89, New York County, New York: Summary level: 140, state:36> county:061> tract:008900",77.1650696076659,68.3420719580546,41.2222021334298,34.3518351111915,81.6,1.4974,"High","High","Low"
"1026",1025,119196,36061009000,"Census Tract 90, New York County, New York: Summary level: 140, state:36> county:061> tract:009000",69.7235149192445,76.2113331508349,59.5537914043252,27.5526964139064,85,3.7211,"High","Low","Low"
"1027",1026,111505,36061009100,"Census Tract 91, New York County, New York: Summary level: 140, state:36> county:061> tract:009100",69.0922730682671,80.8252063015754,62.4156039009752,38.4546136534134,79.3,2.8662,"Medium","Low","Low"
"1028",1027,76058,36061009300,"Census Tract 93, New York County, New York: Summary level: 140, state:36> county:061> tract:009300",61.3145539906103,57.0046948356807,36.0657276995305,20.037558685446,NA,NA,"Medium","High","Low"
"1029",1028,43948,36061009700,"Census Tract 97, New York County, New York: Summary level: 140, state:36> county:061> tract:009700",71.9542901413907,53.7478210342824,31.0091032345536,18.6713151268642,81.3,1.5611,"Low","High","Low"
"1030",1029,122331,36061009800,"Census Tract 98, New York County, New York: Summary level: 140, state:36> county:061> tract:009800",81.9963417820747,70.1071335249543,58.4400313561537,28.5602299451267,87.8,3.9553,"High","Low","Low"
"1031",1030,128906,36061009900,"Census Tract 99, New York County, New York: Summary level: 140, state:36> county:061> tract:009900",65.6136087484812,80.3361684892669,61.9279060348319,31.7132442284326,81.5,3.1147,"Low","Medium","Low"
"1032",1031,159821,36061010100,"Census Tract 101, New York County, New York: Summary level: 140, state:36> county:061> tract:010100",56.9499602859412,78.4749801429706,57.9030976965846,30.4209690230342,81.2,3.3592,"Low","High","Low"
"1033",1032,94607,36061010300,"Census Tract 103, New York County, New York: Summary level: 140, state:36> county:061> tract:010300",63.7153720803911,78.9244975556763,65.4535578489951,36.2846279196089,81.6,2.616,"Low","High","Low"
"1034",1033,111806,36061010400,"Census Tract 104, New York County, New York: Summary level: 140, state:36> county:061> tract:010400",75.3564154786151,62.1181262729124,47.6578411405295,19.1446028513238,81.5,1.2745,"Medium","Medium","Low"
"1035",1034,125488,36061010601,"Census Tract 106.01, New York County, New York: Summary level: 140, state:36> county:061> tract:010601",90.6598705055793,57.556137208982,28.9847086375534,20.8706433393029,89.9,2.3282,"High","Low","Low"
"1036",1035,120053,36061010602,"Census Tract 106.02, New York County, New York: Summary level: 140, state:36> county:061> tract:010602",78.937974118697,68.4292726461401,45.0914770191879,16.9790272199911,84.4,2.2206,"High","High","Low"
"1037",1036,127109,36061010800,"Census Tract 108, New York County, New York: Summary level: 140, state:36> county:061> tract:010800",84.4010530934621,65.7854322071084,41.564282580079,27.6656428258008,85.3,1.6466,"High","Low","Low"
"1038",1037,103797,36061011000,"Census Tract 110, New York County, New York: Summary level: 140, state:36> county:061> tract:011000",86.6013948497854,73.7795064377682,50.0268240343348,32.8862660944206,87,2.5797,"High","Low","Low"
"1039",1038,105750,36061011100,"Census Tract 111, New York County, New York: Summary level: 140, state:36> county:061> tract:011100",58.8888888888889,74.508547008547,58.0982905982906,37.7136752136752,77.6,1.7715,"Medium","High","Low"
"1040",1039,138250,36061011201,"Census Tract 112.01, New York County, New York: Summary level: 140, state:36> county:061> tract:011201",86.489898989899,70.959595959596,42.0454545454545,20.2020202020202,NA,NA,"Low","High","Low"
"1041",1040,197500,36061011401,"Census Tract 114.01, New York County, New York: Summary level: 140, state:36> county:061> tract:011401",91.2225705329154,52.1943573667712,29.4670846394984,19.2006269592476,NA,NA,"High","Medium","Low"
"1042",1041,151131,36061011402,"Census Tract 114.02, New York County, New York: Summary level: 140, state:36> county:061> tract:011402",88.0597014925373,55.7782515991471,32.6652452025586,20,87,2.7902,"High","High","Medium"
"1043",1042,86741,36061011500,"Census Tract 115, New York County, New York: Summary level: 140, state:36> county:061> tract:011500",57.5947281713344,73.2454695222405,44.5140032948929,29.9505766062603,NA,NA,"Low","High","Low"
"1044",1043,72152,36061011600,"Census Tract 116, New York County, New York: Summary level: 140, state:36> county:061> tract:011600",67.8803641092328,67.6202860858257,52.3407022106632,27.5357607282185,83.5,3.7538,"Low","Low","Low"
"1045",1044,107125,36061011700,"Census Tract 117, New York County, New York: Summary level: 140, state:36> county:061> tract:011700",62.687338501292,76.6925064599483,53.3074935400517,36.9509043927649,NA,NA,"Low","High","Low"
"1046",1045,125588,36061011800,"Census Tract 118, New York County, New York: Summary level: 140, state:36> county:061> tract:011800",90.2753872633391,60.9939759036145,41.3726333907057,19.9440619621343,88.5,2.4988,"High","Medium","Low"
"1047",1046,148833,36061012000,"Census Tract 120, New York County, New York: Summary level: 140, state:36> county:061> tract:012000",92.8752374920836,49.3350221659278,31.4756174794174,14.8828372387587,84.6,1.5948,"High","Medium","Medium"
"1048",1047,62301,36061012100,"Census Tract 121, New York County, New York: Summary level: 140, state:36> county:061> tract:012100",74.64599609375,75.57373046875,58.8623046875,29.0283203125,81.6,1.5618,"High","Low","Low"
